행번호,파일,오프셋,안 들어간 이유,원문,디스크 (지금 게임),CSV,수정안
1723,6/S6054.DAT,0x45686,슬롯 부족 / 창 넘침,"ラマダ僧 
遺跡ダンジョンの一番下にいるものは？",(일본어 그대로),라마다 승려: 유적 던전의 가장 아래에 있는 것은?,라마다 승려: 유적 던전의 가장 아래에 있는 것은?
1725,6/S6054.DAT,0x4573A,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",(일본어 그대로),라마다 승려: 정답!!,라마다 승려: 정답!!
1726,6/S6054.DAT,0x45778,슬롯 부족 / 창 넘침,"ラマダ僧 
ラマダ寺でとびらが開いたときに中に見える人の数は？",(일본어 그대로),라마다 승려: 라마다 절에서 문이 열렸을 때 안에 보이는 사람의 수는?,라마다 승려: 라마다 절에서 문이 열렸을 때 안에 보이는 사람의 수는?
1728,6/S6054.DAT,0x45836,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",(일본어 그대로),라마다 승려: 정답!!,라마다 승려: 정답!!
1729,6/S6054.DAT,0x45874,슬롯 부족 / 창 넘침,"ラマダ僧 
ストーンサークルでチョンガラが見つけたアイテムは？",(일본어 그대로),라마다 승려: 스톤 서클에서 촌가라가 찾은 아이템은?,라마다 승려: 스톤 서클에서 촌가라가 찾은 아이템은?
1731,6/S6054.DAT,0x45940,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",(일본어 그대로),라마다 승려: 정답!!,라마다 승려: 정답!!
1732,6/S6054.DAT,0x4597E,슬롯 부족 / 창 넘침,"ラマダ僧 
ちょこのかみのけのいろは？",<57><64><67><84><25> <4B><73><2E><1C><20><6D><1C><49><1C><1B><55><28>괄,라마다 승려: 초코의 머리카락 빛은?,라마다 승려: 초코의 머리카락 빛은?
1734,6/S6054.DAT,0x45A38,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",(일본어 그대로),라마다 승려: 정답!!,라마다 승려: 정답!!
1735,6/S6054.DAT,0x45A80,슬롯 부족 / 창 넘침,"ラマダ僧 
大正解!!",<57><64><67><84><25> <50><C7><DD34>!!,라마다 승려: 대정답!!,라마다 승려: 대정답!!
1736,6/S6054.DAT,0x45AC8,슬롯 부족 / 창 넘침,"ラマダ僧 
私のもんだいに全て正解したのはおまえが初めてだ。ほうびにこれをやろう。",,라마다 승려: 내 문제를 모두 맞힌 건 네가 처음이다. 상으로 이걸 주마.,라마다 승려: 내 문제를 모두 맞힌 건 네가 처음이다. 상으로 이걸 주마.
1737,6/S6054.DAT,0x45B2C,슬롯 부족 / 창 넘침,"ラマダ僧 
私のもんだいに全て正解したのはおまえが2人めだ。ほうびにこれをやろう。",(일본어 그대로),라마다 승려: 내 문제를 모두 맞힌 건 네가 두 번째다. 상으로 이걸 주마.,라마다 승려: 내 문제를 모두 맞힌 건 네가 두 번째다. 상으로 이걸 주마.
1738,6/S6054.DAT,0x45BAA,슬롯 부족 / 창 넘침,<G:90>古代のゆびわ<G:89>をもらいました。,(일본어 그대로),고대의 반지를 받았습니다.,고대의 반지를 받았습니다.
1739,6/S6054.DAT,0x45BF4,슬롯 부족 / 창 넘침,と思つたが、もう持つているではないか？ひやかすでない。,(일본어 그대로),그런데 이미 가지고 있지 않느냐? 놀리지 마라.,그런데 이미 가지고 있지 않느냐? 놀리지 마라.
1740,6/S6054.DAT,0x45C42,슬롯 부족 / 창 넘침,この世界には、精霊の石ともう一つ、全て集めることによつて効果があらわれる石があると聞く。,(일본어 그대로),"이 세계에는 정령의 돌 말고도, 모두 모으면 효과가 나타나는 돌이 하나 더 있다고 들었다.","이 세계에는 정령의 돌 말고도, 모두 모으면 효과가 나타나는 돌이 하나 더 있다고 들었다."
1741,6/S6054.DAT,0x45CA6,슬롯 부족 / 창 넘침,その石は、ぼうけんしゃたちを危険からすくう、大いなる力となるであろう。,(일본어 그대로),그 돌은 모험가들을 위험에서 구해 줄 위대한 힘이 될 것이다.,그 돌은 모험가들을 위험에서 구해 줄 위대한 힘이 될 것이다.
1742,6/S6054.DAT,0x45D02,슬롯 부족 / 창 넘침,"ラマダ僧 
常に目的を持つて行動するがよい。",(일본어 그대로),라마다 승려: 늘 목적을 가지고 행동하는 게 좋다.,라마다 승려: 늘 목적을 가지고 행동하는 게 좋다.
1743,6/S6054.DAT,0x45D52,슬롯 부족 / 창 넘침,"ラマダ僧 
それはまちがいだが、がんばりはみとめよう。",(일본어 그대로),"라마다 승려: 그건 틀렸지만, 노력은 인정해 주마.","라마다 승려: 그건 틀렸지만, 노력은 인정해 주마."
1744,6/S6054.DAT,0x45DA0,슬롯 부족 / 창 넘침,"ラマダ僧 
よつて、これをあげよう。",(일본어 그대로),라마다 승려: 그러니 이걸 주마.,라마다 승려: 그러니 이걸 주마.
1745,6/S6054.DAT,0x45DEA,슬롯 부족 / 창 넘침,<G:90>石<G:89>をもらいました。,(일본어 그대로),돌을 받았습니다.,돌을 받았습니다.
1746,6/S6054.DAT,0x45E2E,슬롯 부족 / 창 넘침,"ラマダ僧 
修行が足りないようだ。
出直してくるがよい。",(일본어 그대로),라마다 승려: 수행이 부족한 모양이구나. 다시 해 보는 게 좋겠다.,라마다 승려: 수행이 부족한 모양이구나. 다시 해 보는 게 좋겠다.
1747,6/S6054.DAT,0x45F00,슬롯 부족 / 창 넘침,"ラマダ僧 
よくがんばりましたね。これをさし上げましょう。",<57><64><67><84><25> <3D><3E><2A><2D><58><39><27><1E><1F><4C><37><2E><32><2F><3A><1E><B9> <27><1E><73><26><37>,라마다 승려: 정말 잘했습니다. 이것을 드리겠습니다.,라마다 승려: 정말 잘했습니다. 이것을 드리겠습니다.
1748,6/S6054.DAT,0x45F6E,슬롯 부족 / 창 넘침,<G:90>幻獣の牙<G:89>をもらいました。,,환수의 어금니를 받았습니다.,환수의 어금니를 받았습니다.
1749,6/S6054.DAT,0x45FDC,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
グリーンスライムバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 그린 슬라임 버스터 여러분.,라마다 승려: 이거 이거. 그린 슬라임 버스터 여러분.
1750,6/S6054.DAT,0x46032,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
エレメンタルバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 엘리멘탈 버스터 여러분.,라마다 승려: 이거 이거. 엘리멘탈 버스터 여러분.
1751,6/S6054.DAT,0x46088,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
トールマスターバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 톨 마스터 버스터 여러분.,라마다 승려: 이거 이거. 톨 마스터 버스터 여러분.
1752,6/S6054.DAT,0x460DE,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
ジャイアントバットバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 자이언트 배트 버스터 여러분.,라마다 승려: 이거 이거. 자이언트 배트 버스터 여러분.
1753,6/S6054.DAT,0x46136,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
フリージーバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 프리지 버스터 여러분.,라마다 승려: 이거 이거. 프리지 버스터 여러분.
1754,6/S6054.DAT,0x4618A,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
野生へモジーバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 야생 헤모지 버스터 여러분.,라마다 승려: 이거 이거. 야생 헤모지 버스터 여러분.
1755,6/S6054.DAT,0x461E2,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
ヴァンパイアバットバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 뱀파이어 배트 버스터 여러분.,라마다 승려: 이거 이거. 뱀파이어 배트 버스터 여러분.
1756,6/S6054.DAT,0x4623C,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
デスフレイムバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 데스 플레임 버스터 여러분.,라마다 승려: 이거 이거. 데스 플레임 버스터 여러분.
1757,6/S6054.DAT,0x46290,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
道化師バスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 광대 버스터 여러분.,라마다 승려: 이거 이거. 광대 버스터 여러분.
1758,6/S6054.DAT,0x462E4,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
アシットスライムバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 애시드 슬라임 버스터 여러분.,라마다 승려: 이거 이거. 애시드 슬라임 버스터 여러분.
1759,6/S6054.DAT,0x4633A,슬롯 부족 / 창 넘침,"ラマダ僧 
これはこれは。
エレメンタルマスターバスターのかたがた。",(일본어 그대로),라마다 승려: 이거 이거. 엘리멘탈 마스터 버스터 여러분.,라마다 승려: 이거 이거. 엘리멘탈 마스터 버스터 여러분.
1760,6/S6054.DAT,0x46394,슬롯 부족 / 창 넘침,"ラマダ僧 
初めての挑戦ですね。それでは、ますは小手調ベということで。",(일본어 그대로),라마다 승려: 처음 도전하시는군요. 그러면 우선 몸풀기부터 하도록 하지요.,라마다 승려: 처음 도전하시는군요. 그러면 우선 몸풀기부터 하도록 하지요.
1761,6/S6054.DAT,0x463F0,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1762,6/S6054.DAT,0x46440,슬롯 부족 / 창 넘침,"ラマダ僧 
2度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？",(일본어 그대로),라마다 승려: 두 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다 승려: 두 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?
1763,6/S6054.DAT,0x4649C,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1764,6/S6054.DAT,0x464EC,슬롯 부족 / 창 넘침,"ラマダ僧 
3度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？",(일본어 그대로),라마다 승려: 세 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다 승려: 세 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?
1765,6/S6054.DAT,0x46548,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1766,6/S6054.DAT,0x46598,슬롯 부족 / 창 넘침,"ラマダ僧 
4度目の挑戦ですね。まだまだ、こんなところでしょうか？",(일본어 그대로),라마다 승려: 네 번째 도전이시군요. 아직은 이 정도겠지요?,라마다 승려: 네 번째 도전이시군요. 아직은 이 정도겠지요?
1767,6/S6054.DAT,0x465EE,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1768,6/S6054.DAT,0x4663E,슬롯 부족 / 창 넘침,"ラマダ僧 
5度目の挑戦ですね。そろそろ、本気で闘つて下さい。",(일본어 그대로),라마다 승려: 다섯 번째 도전이시군요. 슬슬 진심으로 싸워 주십시오.,라마다 승려: 다섯 번째 도전이시군요. 슬슬 진심으로 싸워 주십시오.
1769,6/S6054.DAT,0x46692,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1770,6/S6054.DAT,0x466E2,슬롯 부족 / 창 넘침,"ラマダ僧 
6度目の挑戦ですね。",(일본어 그대로),라마다 승려: 여섯 번째 도전이시군요.,라마다 승려: 여섯 번째 도전이시군요.
1771,6/S6054.DAT,0x46728,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1772,6/S6054.DAT,0x46778,슬롯 부족 / 창 넘침,"ラマダ僧 
7度目の挑戦ですね。そろそろつらくなつてきたでしょうが、がんばりますね。",(일본어 그대로),"라마다 승려: 7번째 도전이시군요. 슬슬 힘들어지셨겠지만, 힘내시는군요.","라마다 승려: 7번째 도전이시군요. 슬슬 힘들어지셨겠지만, 힘내시는군요."
1773,6/S6054.DAT,0x467D8,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1774,6/S6054.DAT,0x46828,슬롯 부족 / 창 넘침,"ラマダ僧 
8度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？",(일본어 그대로),라마다 승려: 8번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다 승려: 8번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?
1775,6/S6054.DAT,0x46884,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1776,6/S6054.DAT,0x468D4,슬롯 부족 / 창 넘침,"ラマダ僧 
9度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？",(일본어 그대로),라마다 승려: 9번째 도전이군요. 그럼 이쯤에서 어떠십니까?,라마다 승려: 9번째 도전이군요. 그럼 이쯤에서 어떠십니까?
1777,6/S6054.DAT,0x46930,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1778,6/S6054.DAT,0x46980,슬롯 부족 / 창 넘침,"ラマダ僧 
10度目の挑戦ですね。それでは、これくらいのところでどうでしょうか？",<57><64><67><84><25> 10<DD20><AC><1C><DD98><63><30><2B><4C><37><41><32><30><28><24><2E><32><3E><33><1B><1C><36><2E><55><30><54><26><30><1E><73><26><20>괄,라마다 승려: 열 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?,라마다 승려: 열 번째 도전이시군요. 그러면 이 정도는 어떻겠습니까?
1779,6/S6054.DAT,0x469DE,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",,라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1780,6/S6054.DAT,0x46A2E,슬롯 부족 / 창 넘침,"ラマダ僧 
11度目の挑戦ですね。いちおう、これで最後になります。",(일본어 그대로),라마다 승려: 열한 번째 도전이시군요. 일단 이것으로 마지막입니다.,라마다 승려: 열한 번째 도전이시군요. 일단 이것으로 마지막입니다.
1781,6/S6054.DAT,0x46A86,슬롯 부족 / 창 넘침,"ラマダ僧 
がんばつて下さい。",(일본어 그대로),라마다 승려: 힘내 주십시오.,라마다 승려: 힘내 주십시오.
1782,6/S6054.DAT,0x46AD6,슬롯 부족 / 창 넘침,もう相手になるものがいません。せつかくですがお引きとり下さい。,(일본어 그대로),더는 상대할 사람이 없습니다. 모처럼이지만 물러나 주십시오.,더는 상대할 사람이 없습니다. 모처럼이지만 물러나 주십시오.
1836,7/S7012.DAT,0x485A0,슬롯 부족 / 창 넘침,"そうじゃ、おまえらの力で宝を
どんどん手に入れるんじゃ!","그래, 너희 힘으로 보물을 계속 손에 넣는 게야!","그래, 너희 힘으로 보물을 손에 넣는 거다!","그래, 너희 힘으로 보물을 손에 넣는 거다!"
1843,7/S7012.DAT,0x487FE,슬롯 부족 / 창 넘침,やさしいのう。,(일본어 그대로),친절하기도 하군.,친절하기도 하군.
1846,7/S7012.DAT,0x48908,슬롯 부족 / 창 넘침,弟子達よ・・・・。,(일본어 그대로),제자들아....,제자들아....
1847,7/S7012.DAT,0x48950,슬롯 부족 / 창 넘침,"チョピン 
どれについてお話ししましょう？",(일본어 그대로),초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?
1848,7/S7012.DAT,0x489A8,선택지(E5),"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",돌 고리 |연결 위치   |<E284><DD7B><DE6E><23><45><1B><21>|다음,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지
1851,7/S7012.DAT,0x48B0E,선택지(E5),"<CTRL:E5:03>ポコの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ",<E287><1C><DDDF><DE7A>|<E288><4C><89>|불꽃     |다음,|포코의 악기|투기장|키토우올|다음 페이지,|포코의 악기|투기장|키토우올|다음 페이지
1853,7/S7012.DAT,0x48BFA,슬롯 부족 / 창 넘침,"チョピン 
ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？",(일본어 그대로),초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?
1866,7/S7012.DAT,0x49136,글자없음: 씩,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル
1つはアララトスの遺跡ダンジョン、","초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 스메리아의 토우빌, 하나는 아라라토스의 유적 던전,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,"
1868,7/S7012.DAT,0x49214,슬롯 부족 / 창 넘침,"チョピン 
戦闘での経験値が倍になるアクセサリーがあるようです。名前は<G:90>きぬのおび<G:89>。
誰でも使えるようですね。",초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.
1896,7/S7021.DAT,0x4921C,선택지(E5),"<CTRL:E5:03>チョンガラ
<CTRL:E5:03>次のページ
<CTRL:E5:03>やつっりやめる
<CTRL:E5:03>外に出る",초카라|다음   |그만   |<E28D><23><56><22>,|촌가라|다음 페이지|그만두기|밖으로 나가기,|촌가라|다음 페이지|그만두기|밖으로 나가기
2135,7/S7028.DAT,0x48666,선택지(E5),"<CTRL:E5:03>チョンガラ
<CTRL:E5:03>次のページ
<CTRL:E5:03>やつっりやめる
<CTRL:E5:03>外に出る",초카라|다음   |그만   |<E28D><23><56><22>,|촌가라|다음 페이지|그만두기|밖으로 나가기,|촌가라|다음 페이지|그만두기|밖으로 나가기
2197,8/S8013.DAT,0x47996,선택지(E5),"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",돌 고리 |연결 위치   |<E281><DD7B><DE6E><23><45><1B><21>|다음,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지
2200,8/S8013.DAT,0x47AFC,선택지(E5),"<CTRL:E5:03>ポコの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ",<E284><1C><DDDF><DE7A>|<E285><4C><89>|불꽃     |다음,|포코의 악기|투기장|키토우올|다음 페이지,|포코의 악기|투기장|키토우올|다음 페이지
2215,8/S8013.DAT,0x48124,글자없음: 씩,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル
1つはアララトスの遺跡ダンジョン、","초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 스메리아의 토우빌, 하나는 아라라토스의 유적 던전,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,"
2217,8/S8013.DAT,0x48202,글자없음: ‘ ’,"チョピン 
戦闘での経験値が倍になるアクセサリーがあるようです。名前は<G:90>きぬのおび<G:89>。
誰でも使えるようですね。",초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.
2414,C1/SC011.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투가 된다. 괜찮나?|예|그만둔다,전투가 된다. 괜찮나?|예|그만둔다
2415,C1/SC011.DAT,0x46E48,선택지(E5),"戦闘になるよ。いいの？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투가 될 거야. 괜찮아?|예|그만둔다,전투가 될 거야. 괜찮아?|예|그만둔다
2416,C1/SC011.DAT,0x46EAA,선택지(E5),"やるぜ。もちろんいいよな
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할 거다. 물론 괜찮겠지|예|그만둔다,할 거다. 물론 괜찮겠지|예|그만둔다
2417,C1/SC011.DAT,0x46F0E,선택지(E5),"戦闘になるけど、いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,"전투가 되는데, 괜찮으려나?|예|그만둔다","전투가 되는데, 괜찮으려나?|예|그만둔다"
2418,C1/SC011.DAT,0x46F74,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투가 되는데 괜찮겠나?|예|그만둔다,전투가 되는데 괜찮겠나?|예|그만둔다
2419,C1/SC011.DAT,0x46FD8,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,괜찮나?|예|그만둔다,괜찮나?|예|그만둔다
2420,C1/SC011.DAT,0x47034,선택지(E5),"どうしようかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,어떻게 할까|한다|그만둔다,어떻게 할까|한다|그만둔다
2422,C1/SC021.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2423,C1/SC021.DAT,0x46E48,선택지(E5),"戦闘になるよ。いいの？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2424,C1/SC021.DAT,0x46EAA,선택지(E5),"やるぜ。もちろんいいよな
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2425,C1/SC021.DAT,0x46F0E,선택지(E5),"戦闘になるけど、いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2426,C1/SC021.DAT,0x46F74,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2427,C1/SC021.DAT,0x46FD8,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2428,C1/SC021.DAT,0x47034,선택지(E5),"どうしようかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할까?|한다|그만,할까?|한다|그만
2429,C1/SC031.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2430,C1/SC031.DAT,0x46E48,선택지(E5),"戦闘になるよ。いいの？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2431,C1/SC031.DAT,0x46EAA,선택지(E5),"やるぜ。もちろんいいよな
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2432,C1/SC031.DAT,0x46F0E,선택지(E5),"戦闘になるけど、いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2433,C1/SC031.DAT,0x46F74,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2434,C1/SC031.DAT,0x46FD8,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2435,C1/SC031.DAT,0x47034,선택지(E5),"どうしようかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할까?|한다|그만,할까?|한다|그만
2436,C1/SC041.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2437,C1/SC041.DAT,0x46E48,선택지(E5),"戦闘になるよ。いいの？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2438,C1/SC041.DAT,0x46EAA,선택지(E5),"やるぜ。もちろんいいよな
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2439,C1/SC041.DAT,0x46F0E,선택지(E5),"戦闘になるけど、いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2440,C1/SC041.DAT,0x46F74,선택지(E5),"戦闘になるがいいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2441,C1/SC041.DAT,0x46FD8,선택지(E5),"いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2442,C1/SC041.DAT,0x47034,선택지(E5),"どうしようかね
<CTRL:E5:03>やる
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,할까?|한다|그만,할까?|한다|그만
2443,C1/SC051.DAT,0x46DE6,선택지(E5),"戦闘になるぞ。いいか？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2444,C1/SC051.DAT,0x46E48,선택지(E5),"戦闘になるよ。いいの？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2445,C1/SC051.DAT,0x46EAA,선택지(E5),"やるぜ。もちろんいいよな
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
2446,C1/SC051.DAT,0x46F0E,선택지(E5),"戦闘になるけど、いいのかな？
<CTRL:E5:03>はい
<CTRL:E5:03>やつっりやめる",전투를 시작하시겠습니까?,전투?|예|그만,전투?|예|그만
