physical_index,char,unicode,sources,v240_piece_indices,official_piece_indices,pixel_hamming,changed,before_bitmap_sha256,after_bitmap_sha256
291,약,U+C57D,V319 atlas identity; V320 assignment,92/207/249,112/229/249,22,1,BEB02FA063352D3F136F8FA34649F96C618FE4BEA5097CE12568DD0D943E0722,D29EF524418341750A692E1D4F4535FCA0B390E655A167A5F9D538526310F1C7
292,럼,U+B7FC,V319 atlas identity; V320 assignment,86/209/264,106/231/292,15,1,FF0F59A2C99A88E673135A04BD1D66F10A009204A2BA9CD07E8E582029416D18,261916C7B727844CF19D0970BBB9B206D726C6847B2AEFFA9410168FCA7A62B8
293,금,U+AE08,V319 atlas identity; V320 assignment,101/245/292,121/223/348,50,1,025E4E2A8201ED36465AAFFA99F27285B3F753B30D9B108D35349A8430DE3831,DDD72B94DD6E7103A48EBB5461B099A9274FB30258E37149F08DDD40FACCCF3B
294,혜,U+D61C,V319 atlas identity; V320 assignment,19/168/-1,19/190/-1,0,0,1F41CB60F25701CA31B5ED2E3AF67EF3E3DEB0D443E01471C4C241E71604E866,1F41CB60F25701CA31B5ED2E3AF67EF3E3DEB0D443E01471C4C241E71604E866
295,참,U+CC38,V319 atlas identity; V320 assignment,95/205/264,115/227/264,18,1,8F0A41D96E438EEB542F3D3F5AC8BE2A4DDC7EC56A39E93597B7999362904973,94874A79408CD87D5FBA149734DBD09FBE7BC534BECAD8300E7D09DB86948506
296,렇,U+B807,V319 atlas identity; V320 assignment,86/209/275,106/231/303,15,1,9707DC76E04A78030F493A85B9F43E00AF1D13322C06715465C92A5D8BDE0991,F9DBA484E0344A69A72253A5D9968CFBA5B825F3E91B343819E65003EF35AD52
297,싶,U+C2F6,V319 atlas identity; V320 assignment,90/225/274,110/247/302,18,1,C506F605128B330CCBA534D3C3E3453EEFA9D2364DFE4A50C164F2BC2AA2747E,5A6B7EC2DB4D498145969D50182B701F5604F4D5B801EB85E7FA7B75F016FDB7
298,잘,U+C798,V319 atlas identity; V320 assignment,93/205/256,113/227/256,18,1,593F053B64DD18474AF2A01EE5AC727CBB9339161F83C42E6283FD70C188B60F,36AF657933D9BCE5928772F2847F7B94DCB44F503D2D72EA8C12B0AC36E2A48C
299,볼,U+BCFC,V319 atlas identity; V320 assignment,108/213/284,128/235/340,60,1,9235923D84F9E11E6F1F3E652F92622FE0205887F6EEB9EC2A70FB2B5263BC11,D7CB6F9B0C6D775733790518EF7670518672D0659D52D6DDDB537E83989B9847
300,냐,U+B0D0,V319 atlas identity; V320 assignment,3/163/-1,3/185/-1,0,0,86D2A36F9EFD8F391637A25595F1CB4CF9FB486C2F7125BB0F1174BC93EE9A8F,86D2A36F9EFD8F391637A25595F1CB4CF9FB486C2F7125BB0F1174BC93EE9A8F
301,억,U+C5B5,V319 atlas identity; V320 assignment,92/209/249,112/231/277,22,1,07250346433193667A5C56CD959D0D03CAF0A5E7A281B6461CB72631E0962E8A,AEDFFF450C7DF27CD3E47DDC836D58B097D60BE0DC55A3BDFDB1B2BA186E73BC
302,선,U+C120,V319 atlas identity; V320 assignment,90/209/252,110/231/280,18,1,1636AD3F7A2FE5156057AB229F2A36D8BAB99C1F0AC2871185F36A3D800C0BA8,864DB612882A3405362627FBB6B8A7C8C860589C1313741065E3D201887A75E3
303,험,U+D5D8,V319 atlas identity; V320 assignment,99/209/264,119/231/292,22,1,44F54B029BD24699C4414B3BEE9AF3F74B7B4B2745315A319C47F838484F9E7A,A0312D69798D7D37313A69F95AF1FFA6DCEAF4B1BA60C1EF96F432269BB47505
304,누,U+B204,V319 atlas identity; V320 assignment,43/174/-1,43/196/-1,0,0,79E431FE2B42AC4A43342EEBD4702F488FBA5692FC57A84C3E39F47A7DCC5663,79E431FE2B42AC4A43342EEBD4702F488FBA5692FC57A84C3E39F47A7DCC5663
305,찾,U+CC3E,V319 atlas identity; V320 assignment,95/205/270,115/227/270,18,1,A8BE7D07BC1C06B68F575C8B8CF5D554B7A662635AB124DF8C6A27C3E17929DA,4DC00FBC8F2110F3804B2212CBB4965E151047BF95ACEA5D9ED3B7ED4EDB76A1
306,노,U+B178,V319 atlas identity; V320 assignment,23/169/-1,23/191/-1,0,0,5FD395C2A369B24576AB8C2794ED8FD66BD2A72F58209C306A9792ED77B98DAE,5FD395C2A369B24576AB8C2794ED8FD66BD2A72F58209C306A9792ED77B98DAE
307,본,U+BCF8,V319 atlas identity,108/213/280,128/235/336,61,1,FE56478E05DE181E68D2E32BACE82967FD384892FDFD38B0C90BFFCD8222961E,62D06950BB62AC922E69846AC736555E7389CFA878507207C772B6EC3DAC8917
308,히,U+D788,V319 atlas identity; V320 assignment,19/181/-1,19/203/-1,0,0,46B7A7948C8D5AA1A8FC5518B6B3809B6BCB2AFF88EEEAED03250E67FE5FF0A3,46B7A7948C8D5AA1A8FC5518B6B3809B6BCB2AFF88EEEAED03250E67FE5FF0A3
309,같,U+AC19,V319 atlas identity; V320 assignment,81/227/273,101/205/273,18,1,131A1840DEF881F5154797851D796FE6E4D3865C7F792AAFDD4E6BF115DA39A9,41F12C6811B1A66B61FB28590E0CFD2D568E7AFA9CF7395E103B78E1043708FA
310,트,U+D2B8,V319 atlas identity; V320 assignment,37/179/-1,37/201/-1,0,0,CCD5206FCB3AE3C2E35EE0BECBDAA12DED5F59C1AB5EF3657306FB628E289E7D,CCD5206FCB3AE3C2E35EE0BECBDAA12DED5F59C1AB5EF3657306FB628E289E7D
311,온,U+C628,V319 atlas identity; V320 assignment,112/213/280,132/235/336,58,1,CC41815FF7D75657689CD1161D630DE86B7E5B4BC0A51315D964DC57E05096C3,BE9EB5400B13A3D719D08C84C2B086B14669A9A2AAB69B5CABF2CCBB19F80C5C
312,머,U+BA38,V319 atlas identity; V320 assignment,7/165/-1,7/187/-1,0,0,CBE051F3314A7D981D9579525A7F4099F6BADB38358782416A7E44B3CFB690F3,CBE051F3314A7D981D9579525A7F4099F6BADB38358782416A7E44B3CFB690F3
313,템,U+D15C,V319 atlas identity; V320 assignment,97/210/264,117/232/320,31,1,C0F836249486999E0BA39D5CEE1D5F46744E1C376826B9A08E66E66953B954B3,B7C1E9D9EBE6CC584E9FCC78B27B8DBB4362F55B328EBF45741AA32EE6CD87AB
314,속,U+C18D,V319 atlas identity; V320 assignment,110/213/277,130/235/333,36,1,2BC8ED9EBDE4E55999F9050ABF7401631E994B3B3790DBAD8368AEA8398BBAC9,DD570925A1912EFC5F175B49491EB26903A3C9CF1FB6FA6647A0A4A4A65183D6
315,뭐,U+BB50,V319 atlas identity; V320 assignment,67/175/-1,87/197/-1,0,0,BF333E370A2CFF0AF9726EABEB93E3EDB1AD7DCAA9C8E32EE9D8F32D0500A0F0,BF333E370A2CFF0AF9726EABEB93E3EDB1AD7DCAA9C8E32EE9D8F32D0500A0F0
316,날,U+B0A0,V319 atlas identity; V320 assignment,83/205/256,103/227/256,13,1,DE24B2AD88F7A0FB7597C4364FC10B0EB36C70B07066CA887C02145F567F4C36,81F4A5EAB5B43139716BD11CEABFD14378CF67979C62943C3EC75CF2AE471CAA
317,폭,U+D3ED,V319 atlas identity; V320 assignment,118/213/277,138/235/333,43,1,BA0F8A8D1D9A65B83BB2C4128821434338E26E2D138DC7C3F0CEC114FDE75BBB,72C7847FDE1377FE0A76BE2980CDE7D36CAB894D5A709720F9EF11D3A3B9E5BA
318,져,U+C838,V319 atlas identity; V320 assignment,13/167/-1,13/189/-1,0,0,5B0BD5099EDA37C3F2EC5FC8CC105BB8AEF3C02C29A04351E4F9D82F41BD1404,5B0BD5099EDA37C3F2EC5FC8CC105BB8AEF3C02C29A04351E4F9D82F41BD1404
319,작,U+C791,V319 atlas identity; V320 assignment,93/205/249,113/227/249,18,1,5201BB9C7CD5ECE7F96EAB9D3BFB9751B57D3AB0224CE65DEBE4235173FA3D0D,51CB455DF9C58DFA55722769A09D2409BEE7BB7F57B6A5AC93124B68A4F9BFDE
320,환,U+D658,V319 atlas identity,159/214/336,159/236/252,19,1,7240A97D834F475D10755E1C6107299D8B0FEBB7CF3485C18288F71639EA4CB9,9238AF81D1A6BF3117E281D27B4034101E278004C3CD8B8A0D6F88ABBE9D9B9E
321,레,U+B808,V319 atlas identity; V320 assignment,6/166/-1,6/188/-1,0,0,FF87CC2C52AFD08AA2EC9EE0E9FD0652A6376C7290FF191FF229FB4BA7573C5F,FF87CC2C52AFD08AA2EC9EE0E9FD0652A6376C7290FF191FF229FB4BA7573C5F
322,씨,U+C528,V319 atlas identity,11/181/-1,11/203/-1,0,0,E7076B464AFE84B6B3E31EE8C05532A4408A4E46404CC1CDF0D6B7FFE8D1CB6D,E7076B464AFE84B6B3E31EE8C05532A4408A4E46404CC1CDF0D6B7FFE8D1CB6D
323,워,U+C6CC,V319 atlas identity; V320 assignment,72/175/-1,92/197/-1,0,0,50A590DC09B4ECA9079EF35DEA58AEFBA0B572C8FFA532E91F374C91B26199C0,50A590DC09B4ECA9079EF35DEA58AEFBA0B572C8FFA532E91F374C91B26199C0
324,쪽,U+CABD,V319 atlas identity; V320 assignment,114/213/277,134/235/333,48,1,BCFCF808190D606278A67897C798D2ABC7644459495758E35F7B0EEB57526C77,CF1ECA70C37386D489524F643554CDADFCA63167631041492660240147336F91
325,난,U+B09C,V319 atlas identity; V320 assignment,83/205/252,103/227/252,13,1,0CCE6EADD841E2C85BDBF959A2E640EAC5B0A18B12662D049E6E0E0C4870D9B9,2675E4AF94BA426270691A08A0FC852BE4F3549EFC1DBB720B8308EA81B49D45
326,망,U+B9DD,V319 atlas identity; V320 assignment,87/205/269,107/227/269,16,1,9599B31604B7B4C7539E09922AE66D371043C72AAD5D935027BDBDBB16BD1FCD,C9E0A30152F039F538404E1E91DAD3BD4CB7EB419EB0AE9F67D8387772B0AFBA
327,팔,U+D314,V319 atlas identity; V320 assignment,98/205/256,118/227/256,32,1,256954FA9BDE2DC42A0AF0539E5597B54CE3E36FFF75EE8FB47CE94B9B23F141,2A7F54A94737D54B227A49578546A1B238700C311A6B74D8DB488F4C1979026E
328,각,U+AC01,V319 atlas identity; V320 assignment,81/227/249,101/205/249,18,1,9543E7EBB2B9E1C8491BA88E1D14AB424F1B04B77D4426BFDC1A2BB08EA055DD,4F49E31392877FAA91E03873B0BC56B4790FD7FCF32C8C9AA52702CBEBF399E3
329,류,U+B958,V319 atlas identity; V320 assignment,46/178/-1,46/200/-1,0,0,7B1C48A00939D49F3C5B40DDA6FF000E541B403D2FC4895468E91E8FC3D828B7,7B1C48A00939D49F3C5B40DDA6FF000E541B403D2FC4895468E91E8FC3D828B7
330,준,U+C900,V319 atlas identity; V320 assignment,133/218/308,133/240/336,23,1,D473CDD2E8BC81C4535B28578D8BDDA54301C497F0486B9C987BC09CE0A231BE,DF0B1CE0CE91905CD42EB40910EF531D0D6749DE41AFDF1C3F1D1359BBBB0FFD
331,움,U+C6C0,V319 atlas identity; V320 assignment,132/218/320,132/240/348,35,1,2275C97DE892BBFB9066B10BBB42AA4350DEFE787878C03768D6BAF2513EEB15,961362983F06AB9E522B259B9984CC90564C33506D74690C2CAC3D1CE156D6CA
332,늘,U+B298,V319 atlas identity; V320 assignment,103/223/284,123/245/340,50,1,CD6B07C7A11CD8F1C559CE9904E483D46930E88E803FF164991B39CB01D106EF,C859B54E9F537D530FB53640B58F0E0252A34F5C29EE9224377ED1AF62ED7661
333,록,U+B85D,V319 atlas identity; V320 assignment,106/213/277,126/235/333,42,1,B09EAD1577A4853F273B68C387D2FDB794EB855ECD3615945F6D1B17EA1B19DF,02884CB741782A6D6968230E1B73577C9A4DFADED54B59584A147586158514DE
334,중,U+C911,V319 atlas identity; V320 assignment,133/218/325,133/240/353,37,1,8D292A8267DDA7EED0B7E14648CBF7EAD8FD91CD3B753186DC960844FD3CE8AA,EE77F5D3DE3BAD54F486178C8018D830CD015ED8E03BB161A56829FF49935BFE
335,훌,U+D6CC,V319 atlas identity; V320 assignment,139/218/312,139/240/340,23,1,909CB58A2178B427D261694C50A43DC78F98C01A4A097CE8AE6BCEBEA2B02467,09A3223AE3662096778B8C30FB5368931E4BEDA804A55A5F2105A81E304C81AD
336,괴,U+AD34,V319 atlas identity; V320 assignment,61/194/-1,61/172/-1,0,0,3322EF10F0E45C786E7C23F9D044F1D865AEDCE2FC85E89D13151D7AA5B2591C,3322EF10F0E45C786E7C23F9D044F1D865AEDCE2FC85E89D13151D7AA5B2591C
337,못,U+BABB,V319 atlas identity; V320 assignment,107/213/295,127/235/351,71,1,4AC7CA0ABE6D647D8BA621F9AD1482C3B0A54D6535072C9475AFFFB6ABB3AA4C,C5BA67FD76EE2C84E2700C859D9EE368E00DA1A0BA6188464409ABE1BB1B9D8A
338,감,U+AC10,V319 atlas identity; V320 assignment,81/227/264,101/205/264,18,1,409C612CEA2CCC82A853C4082A9A6198ED37698B8C4C8F59AF824D7043F01B6C,E0B2E19546FC266377DC7AC2BAAD44D1351E149D1E6B3BD985F0A88F0C66F272
339,포,U+D3EC,V319 atlas identity; V320 assignment,38/169/-1,38/191/-1,0,0,EF68A235E90C42C2ADD6CB6B8718C1B29B7BDFECD05203C86AFF916BF072CE0D,EF68A235E90C42C2ADD6CB6B8718C1B29B7BDFECD05203C86AFF916BF072CE0D
340,편,U+D3B8,V319 atlas identity; V320 assignment,98/211/252,118/233/280,31,1,846447BAF613A69237BE5B2BAB9221DDEA73CDBC3B2390C4F66640250CE60086,173AB204CFACB842FFFA146E0B289F88A58D6BC296F97320F43DC45884111F1F
341,족,U+C871,V319 atlas identity; V320 assignment,113/213/277,133/235/333,38,1,9818957CEA8BEAE00E2D5A180D1B6A80F25D7B69B69151464413092693A4C102,149418A5E50DB94304244FFDEC5EA054466FA59B8F8E102D5DFC6502FD13B5FC
342,파,U+D30C,V319 atlas identity; V320 assignment,18/161/-1,18/183/-1,0,0,75942FC4AFB3A3A481F528A9FC19EA33B2E991660907A01CD3BDF0FD1F21D9B4,75942FC4AFB3A3A481F528A9FC19EA33B2E991660907A01CD3BDF0FD1F21D9B4
343,직,U+C9C1,V319 atlas identity; V320 assignment,93/225/249,113/247/277,18,1,626808CA22DD23BC0880126ED131AD70C1EA805907BD6DC1504E5295FC7938BF,67030F7C79B19E96D287CF81A7705E98CADCE7F1B175FCEA68EA8DC0DB05B57C
344,형,U+D615,V319 atlas identity; V320 assignment,99/211/269,119/233/297,22,1,4635026BF09D9F0B01245304FB868BFAFB2FB40F1AA1FD69DCA1EDDED1E25766,0B50F865FF23C5970B04124DFF70C1E2D86C38FBE05DD56C612AB4EE0FE9C801
345,째,U+C9F8,V319 atlas identity; V320 assignment,14/162/-1,14/184/-1,0,0,0AF647F007B740374F9C3FE2383536FE26351966785DA961EA78D57B232C6CAC,0AF647F007B740374F9C3FE2383536FE26351966785DA961EA78D57B232C6CAC
346,타,U+D0C0,V319 atlas identity; V320 assignment,17/161/-1,17/183/-1,0,0,5ED0C8127E2E8122889C72FFB1EF3051EFAC3B9DE99195947DCEE6B30EFA8047,5ED0C8127E2E8122889C72FFB1EF3051EFAC3B9DE99195947DCEE6B30EFA8047
347,품,U+D488,V319 atlas identity,138/218/320,138/240/348,35,1,48FCE6FB99B76DEFC4CCBC8673EE71119D221DE389C32E6C3A04CAE75B83B6F6,73F8C9DF87F2E2113FFFA493CCFA217B15077762F2BE33320D4770A859564082
348,줄,U+C904,V319 atlas identity; V320 assignment,133/218/312,133/240/340,23,1,8BE84870D5A7F3EE393DAB95D0243BE3B6C203EC4C3D2CD4523341CEC06FAC74,054EEA6E30819992AAD87F7AC22C87079A6976E7331210F553337D091E3A2552
349,양,U+C591,V319 atlas identity; V320 assignment,92/207/269,112/229/269,22,1,5B4A9A24DC92BA6580F712EAC68E3653E1CE35CF1EDB2BCA00678F23C379C8B1,2F2EC47D2B9384A35479FA7205C77057D62570F56CB39C13A980F38C504544CC
350,화,U+D654,V319 atlas identity,79/170/-1,79/192/-1,0,0,287195AAB96F65068107AE768BA5602177EA0D21E640C2C6A61C34114B42C08E,287195AAB96F65068107AE768BA5602177EA0D21E640C2C6A61C34114B42C08E
351,놈,U+B188,V319 atlas identity; V320 assignment,103/213/292,123/235/348,52,1,67FDD823D491F153798E9F798BC32DEBD7ADFA5A442D573B8AD32F916E2E78BC,8FBCE891489F8ACA5A5BF429A58CB352A982A2B2874F0C4B362B48962CE1686B
352,쓰,U+C4F0,V319 atlas identity; V320 assignment,31/179/-1,31/201/-1,0,0,DA109DEB258D21B3FDF1376579796464EB30D4C57B2859EA63E4B6D54652B9CE,DA109DEB258D21B3FDF1376579796464EB30D4C57B2859EA63E4B6D54652B9CE
353,슈,U+C288,V319 atlas identity; V320 assignment,50/178/-1,50/200/-1,0,0,55E15DDB8BF241139AEB3B2FDA3892670E2587DE650509992205F5EC08A0D15D,55E15DDB8BF241139AEB3B2FDA3892670E2587DE650509992205F5EC08A0D15D
354,녀,U+B140,V319 atlas identity; V320 assignment,3/167/-1,3/189/-1,0,0,8FF0E2C8E16D669DF5CC1EF39A4F194CB5834041EC60686FB4C02388B9FD6B21,8FF0E2C8E16D669DF5CC1EF39A4F194CB5834041EC60686FB4C02388B9FD6B21
355,왔,U+C654,V319 atlas identity; V320 assignment,152/214/352,152/236/268,36,1,DFB3CDF73664161BA9E6AD8EE25DB212C674B11847F42993A34F008A3A78C087,E430F6B68CC5C040C14AD3204BB85708B884D0D19DF368881615636B51282E8E
356,열,U+C5F4,V319 atlas identity; V320 assignment,92/211/256,112/233/284,22,1,8EA976B079CEC160D7CB9E7E6C7F8A8B439DCDA0232E0497743547FD10CC2ACA,F50441937F650FC992301018153DCF0F3BEA0F5D94EF2665D68CEE02700EE39B
357,표,U+D45C,V319 atlas identity; V320 assignment,38/173/-1,38/195/-1,0,0,75B2761F456B9FE0FF65902034C51AB4B449F3F0523DB1F7A7EDAE31F77FD289,75B2761F456B9FE0FF65902034C51AB4B449F3F0523DB1F7A7EDAE31F77FD289
358,석,U+C11D,V319 atlas identity; V320 assignment,90/209/249,110/231/277,18,1,DEFE32193418EC33E2E7A17C428BABEB4CF0D91C500B4B2CEB963F8191807FE6,289032FFCAA0D2459A024A16C8D7A0C1093666AB3FE0A2790B771CBC421867C1
359,꽃,U+AF43,V319 atlas identity; V320 assignment,102/213/299,122/235/355,55,1,862B8F1FAA0BFBBB359226F57EDD7132DB15245C112D3F8818DB736AF2244481,2EECFF9D3F8ECC15ABDF09B9114DCB9385503C5FAFF4E6DAA36DD7E740B0E271
360,후,U+D6C4,V319 atlas identity; V320 assignment,59/174/-1,59/196/-1,0,0,D460E3412612FE58BDB99BEE9455EB42BD77A14B489975BF80F3E1F4FDEB0EC6,D460E3412612FE58BDB99BEE9455EB42BD77A14B489975BF80F3E1F4FDEB0EC6
361,걸,U+AC78,V319 atlas identity; V320 assignment,81/231/256,101/209/284,18,1,B648B8EEA496ED7394BD815B60CD86C81D2C860E0A7A1CAC10428DE02A1EC563,A2782D62328D74D37D90DFEBAB97918564805D2CDF63969994E5F7E3E9263173
362,처,U+CC98,V319 atlas identity; V320 assignment,15/165/-1,15/187/-1,0,0,273C098DFFAF331FA652AD368D9977E56EB3C5476BC5E9544F35AA359C601A6E,273C098DFFAF331FA652AD368D9977E56EB3C5476BC5E9544F35AA359C601A6E
363,체,U+CCB4,V319 atlas identity; V320 assignment,15/166/-1,15/188/-1,0,0,480DA6AF23BCC7599EFDCA8330282EC4194DBE05E4DC9B6DFC7A1B8A3A4A48F3,480DA6AF23BCC7599EFDCA8330282EC4194DBE05E4DC9B6DFC7A1B8A3A4A48F3
364,역,U+C5ED,V319 atlas identity; V320 assignment,92/211/249,112/233/277,22,1,E43C848EBA03A57F2BE094422937324B2676D349A34BE2185B0E63BC4249AB90,EE14E5592F62BDFEB7C73E4764B659C58CE33EA6D63922A02A7961FAC50CDF52
365,울,U+C6B8,V319 atlas identity; V320 assignment,132/218/312,132/240/340,23,1,CDAC5152F40693B0549B6B7FC0B1A0C2FCCB23E9D758594210292EB81C635E1C,1DF8CAA5F8FCEDBB7A34B1BFC441F35B85E5F0698F529CB7C7DEB8D3CE22E689
366,배,U+BC30,V319 atlas identity; V320 assignment,8/162/-1,8/184/-1,0,0,39971111906DD975C51FBBA880E9CF6361CF9A3DDC9C2DBAAB2352942B9DAB2C,39971111906DD975C51FBBA880E9CF6361CF9A3DDC9C2DBAAB2352942B9DAB2C
367,죽,U+C8FD,V319 atlas identity; V320 assignment,133/218/305,133/240/333,19,1,B85796809B424EE75E45D63410ED1FD900F2B4DB0406D23776494B94FE5F7250,028F586275038F057A66999DE3525702383002D479A3A3ADA95849A4E05CCE5F
368,길,U+AE38,V319 atlas identity; V320 assignment,81/247/256,101/225/284,18,1,9F9B2BC8F79EEBBE85D36B11A4988BB345A706C80550E89BD5DCD9C0D8448834,1BCF9425701E4E9B46BA86B5846032BC86936E9F5E539A4CE7D457D7E8C174AC
369,더,U+B354,V319 atlas identity; V320 assignment,4/165/-1,4/187/-1,0,0,8A2D6B7A991A607F6E2A6C1530AAB711782EF53D5B22B2E07B0E377342D3DB1D,8A2D6B7A991A607F6E2A6C1530AAB711782EF53D5B22B2E07B0E377342D3DB1D
370,숲,U+C232,V319 atlas identity; V320 assignment,130/218/330,130/240/358,32,1,CD78C3518D1A04B05FC0009F96639FEAD5B93EBCD53BD4C67B56A6BE0F5C613A,D8C0B7DA2F0D88FD4918653EF8A755C042B361A5EE1F2C53F902FFD842B75D91
371,큰,U+D070,V319 atlas identity; V320 assignment,116/245/280,136/223/336,48,1,DB50C27F4ED933FE468AB87A0CF58584A61562432AF644A4C9915AB97FA8403A,60631B8D89001FC15E0368133B5271251F9ED0901CAEE71701B5945AC056992C
372,느,U+B290,V319 atlas identity; V320 assignment,23/179/-1,23/201/-1,0,0,0097F8F4CE8CB71CF5BD1020D8D8C9F2FA45627A537307DB275E0D1ABD86C27B,0097F8F4CE8CB71CF5BD1020D8D8C9F2FA45627A537307DB275E0D1ABD86C27B
373,톤,U+D1A4,V319 atlas identity; V320 assignment,117/213/280,137/235/336,54,1,E43A44462AE1AC42DA4ECC5B6C2A914672049DE29BF6D63B2265C3744B1EBED7,061A6CC002F80B1249B24D06DB0CF1566C7E147E9C0740BA258A2FBCF1DE5B1E
374,렸,U+B838,V319 atlas identity; V320 assignment,86/211/268,106/233/296,15,1,1934EC51F82A1F1C9D5F5F7A67CFD526352B02BC6C7E81D979DCF7D1F7347835,AD9C4560F47546F0807DB33AF7069367EDEE41C9BA05025EAF081AE035BEBA16
375,얻,U+C5BB,V319 atlas identity; V320 assignment,92/209/255,112/231/283,22,1,31E73184DF5D95D0EF341BF9FBECC84AA4CD28EE7146A563039F4E90766E8E14,4CC5970EF19C14A95D24BF5C6AA369BEFED400BBE626826667FFF0B1A3BB9106
376,프,U+D504,V319 atlas identity; V320 assignment,38/179/-1,38/201/-1,0,0,98772B6FDC8AC0BF2CC19175A19EC02BE26065DB6B7113E41DE0C9D10AD7DC6C,98772B6FDC8AC0BF2CC19175A19EC02BE26065DB6B7113E41DE0C9D10AD7DC6C
377,궤,U+ADA4,V319 atlas identity; V320 assignment,61/198/-1,81/176/-1,0,0,0E997B9E8802680F1C8DDDDFC5F56BCE82AB01F43F9884B1247F3161E0A92DE0,0E997B9E8802680F1C8DDDDFC5F56BCE82AB01F43F9884B1247F3161E0A92DE0
378,복,U+BCF5,V319 atlas identity,108/213/277,128/235/333,54,1,E18038E47A4AE55F7FEE289F594DB2587E7DBD913D94A89064FA0C969AD24F27,9D966002D871CC64F534A7D4B0D8BCD46280A203252AE112BC5072832D4DBCD1
379,슨,U+C2A8,V319 atlas identity; V320 assignment,110/223/280,130/245/336,47,1,E11BA34C223CC9E1CE379580717A5FF95B2F8EBFAF451CA6A0FD6136C8F8A070,8388A7370F8622E1AF499FAD524A6B5B71A56029E3850F0F46D082C98A810935
380,검,U+AC80,V319 atlas identity; V320 assignment,81/231/264,101/209/292,18,1,F636D58E33FF977709276949ED9E2B28BAED5E6558F99B26AE331E159E0E4F1B,48A17534B61FB5090B68CEA1C7F1C3822B0764EF73456D296A7C4F2CC2382BF8
381,살,U+C0B4,V319 atlas identity; V320 assignment,90/205/256,110/227/256,18,1,E1847C5677EDCC367EBC44AD4275C968F41FD0A8A42257BCBADF3733F35FE3BA,D52819C5F8C40FCC2B1E88E2416CB48D4AA3EA69AD68E861971F5F6966B4231A
382,끝,U+B05D,V319 atlas identity; V320 assignment,102/223/301,122/245/357,51,1,D2196D63DA8E5841D2F3E6890CE2ACCB9F18687D3BF02C0781B730EF7FB70C5D,D144FACBA837E266ED5E36716A0D3473F655FB6AB055CCE06AD07B1E51D64308
383,앗,U+C557,V319 atlas identity; V320 assignment,92/205/267,112/227/267,22,1,AD5B9A081AAC70CFE7838990EFC76B479BC19A14B398DBC6ED1EBEFE913C5CEA,A903F5EAFF3A9956461158885F895506098E3EE210B5100FAD0376A0756BACD8
384,년,U+B144,V319 atlas identity; V320 assignment,83/211/252,103/233/280,12,1,0B201187634180126095B970AB9AF73B153878D68EDC78AED1672A46A009FE15,19E9509F5DFC86680EC4427D84357E4D314B4DD8D7C8EDAB93AF4F76CB753D63
385,갈,U+AC08,V319 atlas identity,81/227/256,101/205/256,18,1,ECFBB5190EDE47B5A0889AD8E31277BEF06FE3A549D349C9AB6479DDAA95089D,209AAF6AFC4CAC87D984007942AE287D42AF9972BD5A62BD002BD054BF774D9B
386,빌,U+BE4C,V319 atlas identity; V320 assignment,88/225/256,108/247/284,16,1,90BCE3E06894DEC8CAD403BBA3E98CE2C351D90194198B7CBDA141D6D42F2ED2,61F70842D633E8C41A1CD2B5D3516CEA4BC65ABDCCAA1D6FC0F0AECBAEAF245C
387,엇,U+C5C7,V319 atlas identity; V320 assignment,92/209/267,112/231/295,22,1,AFB177F1EAE65407199117163E2BF54EFFA2D0EABE006032B79C620E7DA0A0EE,B2871404CB52F7F4C163203E53E747113270BF236F3CA597018F9D224E2D85FE
388,겐,U+AC90,V319 atlas identity; V320 assignment,81/232/252,101/210/308,27,1,9C23515637C8895FD8D41EAF1065A64B5735A77C330DEBB9E56A2E8BA2CE1C75,4DA077E43509427EC3A131A2A4291BBF1747CBA06C2A6156A8809BFAE8D845E0
389,질,U+C9C8,V319 atlas identity; V320 assignment,93/225/256,113/247/284,18,1,26C1C50518A034B72F27779B9DB7A03811F69BF057553AB56F6DF43D29156292,4964CCBC7EED9EA7EA098C3DD0BC3E6C6EC6B92C785BDE182F1950EFED53DF0C
390,막,U+B9C9,V319 atlas identity; V320 assignment,87/205/249,107/227/249,16,1,1FB7AE43B7B78623671E3A7268F011F7B49F52FD518AECC7CB13441AEAD40D38,D0AE24EDAB1A5D15B26C4E11AB793AF800EEF56A7C3B92BA169EEE215395BF23
391,많,U+B9CE,V319 atlas identity; V320 assignment,87/205/254,107/227/254,16,1,C83821328F6C7524C00C5755025838C5836149AABFD27313DA91C93E944A88B9,9771AA83E3EEFF3585448FFDBE8E959C0D0D6950413158DC3457B65968A287C2
392,연,U+C5F0,V319 atlas identity; V320 assignment,92/211/252,112/233/280,22,1,617861EA6C418DE6075D3CD0CD5EF7A228E86FC3056EB3955559FF22945F3546,D92634DD53A98D0845BA5652405A475A6FF72260736AEB284DB33F3164AA591E
393,됩,U+B429,V319 atlas identity; V320 assignment,144/216/349,144/238/293,25,1,128F448CB122483352F29252A96486DB78A3F50BA58CA78175C6ECADA9F0E7A4,16FA17826344DE23F8B01C1CA939D995B423639178E8ADC0B9824A98EF594E26
394,문,U+BB38,V319 atlas identity; V320 assignment,127/218/308,127/240/336,23,1,4210C792E2CB86BA5E2C7240C7FAE663E9749A29186C8318D2DF1D9643B6E58C,5856EAA092561B63D80572D678A3E81B18F49BD7C3D2EF40FB8372293EFF8AC9
